id,name,country_id,year_began,year_ended,notes,url
3635,AIIIE! Comics,225,1994,1996,Portland OR publisher.,NULL
3636,CM Comics,75,1993,1994,NULL,NULL
3637,Extinct Press,225,1995,1995,NULL,NULL
3638,Custom Pic Comics,225,1986,1987,NULL,NULL
3639,Neotek Iconography,225,1992,1993,Milwaukee WI publisher.,NULL
3640,High Impact Entertainment,225,1996,1996,NULL,NULL
3641,Reactor Comics,225,1993,1993,NULL,NULL
3642,Caption Comics,54,2001,2002,Joint venture between IPP Comix and /mg/publishing/ for the US publication of Helden,NULL
3643,der-eigen-verlag,54,2001,NULL,NULL,NULL
3645,Metro Comics,225,1987,NULL,NULL,NULL
3646,Wildcard Ink,225,NULL,NULL,NULL,NULL
3647,Longmeadow Press,225,NULL,NULL,NULL,NULL
3649,Dragon's Blood Productions,225,1993,1993,Dragon's Blood Productions P.O. Box 6 Chilton Wisconsin 53014. ,NULL
3650,RAM Comics,225,1988,1988,RAM® Comics 4 Pitch Pine Place Medford New York 11763.,NULL
3651,Dynamic Publishing [1990s],225,1991,1991,Dynamic Publishing 1274 Sunnymeade #6 Rochelle IL 61068,NULL
3652,September Press,225,1989,1994,September Press 714 9th Ave. Suite 369 New York NY 10019,NULL
3653,Humanity Inc.,225,1994,NULL,Humanity Inc. 77 West Main St. Suite 115 Smithtown New York 11787.,NULL
3654,Acetylene Comics,225,2001,2001,Acetylene Comics 9 Appleton Street Suite 400 Boston MA 02116. ,NULL
3655,Marvel; Target; Columbia Pictures,225,2007,2007,NULL,NULL
3656,South Star Comics,225,1992,1992,"South Star Comics 808 SW Green Oaks Blvd. Suite 408-361 Arlington Texas 76017. *Erroneous recorded as ""South Star"" by Lone Star Comics (mycomicshop.com).*",NULL
3658,Leung's Publications,225,1989,NULL,Leung Publications (USA branch) 15227 North 23rd Place Phoenix AZ 85022; Leung Publications (UK branch) 9 Coronation Walk Southport Merseyside. Published bimonthly.,NULL
3659,Doyan Productions,225,1985,1986,Doyan Productions R.R.1 Box 359 Colona Illinois 61241,NULL
3660,Eenieweenie Comics,225,1995,NULL,Eenieweenie Comics 3315 Carse Drive Los Angeles CA 90068,NULL
3661,Tangram Publishing,225,1992,NULL,Tangram Publishing P.O. Box 752 Belfast Maine 04915,NULL
3662,Thrill-House Comics,225,2006,NULL,NULL,http://www.thrillhousecomics.com
3663,George Foster Enterprises Inc.,225,1992,1992,Giveaways?,NULL
3664,Field Enterprises Inc.,225,1969,1969,Giveaways?,NULL
3665,Piffle Productions,225,1994,1995,Piffle Productions 311 Morrow Ave. Suite 2 Carnegie PA 15106,NULL
3666,Dream Catcher Press,225,1995,1995,Dream Catcher Press P.O. Box 2072 St. Peters MO 63376.,NULL
3667,Dark Drama Studios,225,1981,NULL,Dark Drama Studios P.O. Box 1473 Boerne Texas 78006. *There is no indication of this title/publisher on the following websites: Mile High Comics.com and Mycomicshop.com,NULL
3668,St. Eve Productions,225,1991,1991,St. Eve Productions P.O. Box 1609 Madison Square Station New York NY 10159-1609,NULL
3670,Houston's Cutting Edge Studio,225,1993,1993,Houston's Cutting Edge Studio 18091 Upper Bay Drive Houston Texas 77058,NULL
