story_id,character_id
45,15415
60,19763
60,19776
61,19763
61,19776
62,19763
62,19776
63,19763
63,19776
64,19763
64,19776
65,19763
65,19776
66,19763
66,19776
67,19763
67,19776
69,21130
69,21751
69,21494
70,21130
70,21751
70,21494
88,24589
89,24589
96,25710
101,9430
101,7025
126,20393
126,33504
127,20393
127,16045
127,19914
127,33504
128,4095
129,32519
129,4095
132,30159
133,23321
134,30309
136,24876
136,30355
136,28259
136,16545
136,11812
136,13911
136,16045
136,3539
141,32519
141,4095
142,3514
142,32519
142,34765
142,4095
142,24726
143,32519
143,4095
144,32519
144,4095
145,32519
145,4095
145,4101
146,32519
146,4095
148,32519
148,4095
148,19602
149,32519
149,4095
156,17951
157,17951
158,3594
159,3593
160,3594
161,3594
162,3594
163,3594
164,3593
165,3593
166,3593
167,3594
168,3594
169,3594
170,3594
171,3594
172,3594
173,3594
174,3593
175,3594
176,3594
177,3594
178,3594
179,3594
180,3593
181,3593
182,3594
183,3593
184,3594
185,3594
186,3594
187,3594
188,8950
189,8950
190,8950
191,8950
192,8950
193,8950
194,8950
195,3594
196,3594
197,3594
198,3594
199,3594
200,3593
201,3593
202,3594
203,3594
204,3594
205,4095
206,32519
206,4095
207,4096
208,4096
209,4096
210,4096
211,24050
212,24050
213,24050
214,24050
215,24050
216,24050
217,24050
218,24050
219,24050
220,24050
221,24050
222,24050
223,24050
224,24050
225,3514
225,3912
225,970
226,3514
226,3912
226,970
227,3514
227,3912
227,970
228,3514
228,3912
228,970
229,3514
229,3912
229,970
230,3514
230,3912
230,970
231,3514
231,3912
231,970
232,3514
232,3912
232,970
233,3514
233,3912
233,970
234,3514
234,3912
234,970
235,3514
235,3912
235,970
236,3514
236,3912
236,970
237,3514
237,3912
237,970
238,3514
238,3912
238,970
239,32519
239,4095
240,32519
240,4095
241,1639
241,32519
241,4095
242,1639
242,32519
242,4095
243,32519
243,4102
243,4095
244,32519
244,4095
245,32519
245,4095
246,32519
246,4095
247,32519
247,4095
248,32519
248,4095
249,32519
249,4095
250,32519
250,4095
251,1639
251,32519
251,4095
252,32519
252,4095
252,33480
253,32519
253,4095
254,32519
254,4095
255,32519
255,4095
256,32519
256,4095
257,32519
257,4095
258,32519
258,4095
259,32519
259,4095
260,32519
260,4095
261,32519
261,4095
262,32519
262,4095
262,6500
263,32519
263,4095
263,33480
266,3653
266,3661
266,21568
266,33502
266,3666
267,3671
267,3653
267,3658
267,3661
267,3666
268,3664
268,3653
269,21724
269,3658
269,3671
269,3659
269,3661
269,3666
269,6501
269,3653
269,3665
269,33515
270,28505
270,3657
270,3671
270,3661
270,3666
270,3653
271,3671
271,3653
271,3658
271,3661
271,3666
272,3671
272,3653
272,3658
272,3661
272,3666
273,3658
273,3671
273,3667
273,3661
273,3666
273,3653
274,21568
274,3658
274,3671
274,21548
274,3661
274,3666
274,3653
275,3658
275,3671
275,3661
275,3666
275,3653
275,3665
276,10285
277,10285
278,10285
279,10285
280,10285
281,10285
282,10285
284,8988
285,33441
286,33441
288,32200
291,34447
292,34447
293,34447
294,34447
295,34447
296,34447
297,34447
298,34447
299,34447
300,34447
301,28437
302,28437
303,23424
304,13756
304,716
304,34593
304,12174
304,23425
304,21000
304,29217
357,10285
358,10285
359,9685
359,10310
363,9685
363,10310
366,9685
366,10310
373,9685
373,10310
378,9685
378,10310
380,22009
380,21020
381,22009
381,21020
385,26885
386,26885
387,10166
387,9165
387,32292
388,10166
388,9165
388,32292
389,10166
389,9165
389,32292
390,10166
390,9165
390,32292
391,10166
391,9165
391,32292
395,27505
395,6598
395,20786
395,3521
395,22787
395,17116
395,6337
395,14426
395,1656
395,33116
395,13237
395,6310
395,6110
396,6337
396,6110
397,14426
397,6310
397,17116
397,22787
398,32636
398,20303
399,32636
399,20303
408,12750
409,33504
410,33504
434,27506
469,33504
470,33504
476,35228
476,32636
476,35581
476,20303
477,32636
477,20303
480,15623
481,15623
482,32143
483,32143
484,32636
484,20303
485,32636
485,20303
485,26172
488,12750
489,10745
489,12750
489,12286
489,1026
491,12392
491,2258
491,27124
497,15138
497,23166
516,12392
516,2258
516,27124
537,15138
537,23166
543,32636
543,29168
544,9068
544,32636
544,9066
544,29168
544,26172
652,11053
652,23131
652,14499
652,27133
654,15138
654,29055
654,20470
654,30241
675,16344
692,6241
711,2316
711,10337
726,33231
726,31875
726,4642
726,28885
741,6241
747,15138
747,15557
749,4147
749,9932
753,2780
753,9450
753,34349
753,7620
755,11053
755,20956
755,22838
757,27142
757,23131
760,22787
761,27124
761,12391
761,2258
761,22007
761,23561
761,23886
763,22558
763,14499
774,7620
776,11053
777,11035
777,22786
781,4273
785,23131
803,3905
803,1009
803,32531
803,3854
803,34471
807,14229
807,29846
807,14514
807,26150
807,4949
813,33231
813,28885
817,11035
817,22786
819,11053
820,29041
820,4273
822,12369
822,27124
822,13603
822,2257
828,12369
828,2257
831,28748
834,28748
842,7896
859,11454
905,20329
905,11454
926,7896
927,20329
928,13180
928,24593
930,13180
930,24593
932,13180
932,20329
933,11454
935,20329
942,11454
943,20329
943,11454
964,20329
964,7896
965,7896
966,13180
966,24593
967,13180
967,24593
968,11454
990,14027
990,7868
992,28885
992,35235
992,10253
992,6328
992,34490
993,3297
993,2879
994,18228
994,27467
995,17401
995,2074
995,10528
995,9853
995,13768
997,24105
997,23648
998,33114
998,3875
999,7838
999,2467
1000,25601
1000,14984
1000,26483
1002,13927
1003,23474
1003,28907
1003,17488
1003,17461
1004,34665
1004,33544
1005,2937
1005,18015
1006,2245
1006,3833
1007,15836
1008,4312
1009,14666
1009,11274
1010,27760
1011,14027
1011,7868
1011,20153
1012,10542
1013,35587
1013,223
1013,27467
1014,14666
1014,11274
1014,16742
1014,14669
1015,3901
1015,3838
1016,10529
1016,2074
1016,9857
1016,9856
1016,17495
1017,3297
1017,2879
1017,9354
1017,5364
1017,9355
1018,2225
1018,28885
1018,17492
1018,2224
1018,34488
1019,35819
1019,3341
1019,13738
1019,27067
1019,5181
1019,13779
1020,15836
1020,36098
1020,14365
1021,7838
1021,1849
1021,36416
1021,2467
1022,13508
1022,33286
1022,18015
1025,6263
1025,32969
1025,27760
1025,35469
1025,27707
1026,13927
1026,36107
1026,35805
1027,36000
1027,23650
1028,29543
1028,22788
1029,26008
1029,35915
1029,9682
1029,4312
1030,4845
1032,35814
1032,17927
1032,33512
1033,23474
1033,28907
1033,17461
1033,33512
1034,35567
1034,23843
1034,34665
1034,33544
1034,17159
1034,11617
1036,36080
1036,36081
1036,13954
1037,3833
1037,2245
1037,1648
1038,20618
1038,24105
1038,23648
1039,26483
1039,31760
1039,1673
1039,35610
1039,36831
1039,4698
1040,7838
1040,2467
1085,27398
1085,33469
1090,15138
1092,7622
1093,23131
1093,27143
1095,6241
1098,33469
1098,22786
1103,1085
1103,23135
1103,24696
1111,25907
1112,24068
1120,33231
1120,28885
1164,18228
1164,27467
1165,16630
1165,24531
1166,7838
1166,34936
1166,2467
1167,4626
1168,2074
1168,17400
1168,9853
1169,17804
1169,16309
1170,28907
1170,17461
1171,17580
1176,13650
1178,13628
1182,9182
1182,14089
1186,34665
1186,33544
1187,14027
1189,26178
1189,24885
1189,18219
1189,16614
1189,3562
1190,24883
1190,17162
1190,18013
1190,13262
1190,5181
1190,34026
1190,13779
1191,13927
1192,13954
1193,3297
1193,2879
1193,13223
1194,24105
1194,23648
1195,26484
1195,14986
1195,4698
1195,25616
1286,27030
1286,27461
1286,32197
1286,18026
1286,8622
1287,31414
1287,5177
1287,12657
1373,14664
1375,33460
1376,6508
1376,28634
1377,25713
1377,2861
1378,2467
1378,4208
1378,27269
1379,16557
1379,13285
1379,28397
1379,12062
1379,13781
1379,22496
1379,32390
1379,16885
1380,13895
1381,13152
1381,10143
1385,22922
1386,6793
1386,7628
1387,16488
1387,14737
1389,5536
1390,17779
1390,11918
1392,3768
1392,28688
1393,4046
1394,29238
1394,23131
1394,34499
1396,18122
1396,4789
1396,19348
1397,14664
1398,23520
1398,33550
1398,10474
1399,19579
1399,34438
1399,15293
1399,26226
1399,10614
1400,984
1401,7485
1402,24262
1402,13038
1404,24696
1404,27125
1404,27398
1404,33469
1404,23131
1404,27506
1406,13917
1407,24330
1409,15138
1412,27398
1412,4273
1415,3297
1415,30308
1420,33231
1420,28885
1420,20154
1420,23304
1425,14229
1425,18596
1425,5015
1425,32727
1434,27334
1446,1749
1446,34569
1446,6897
1446,7998
1446,3807
1446,9903
1449,23530
1449,32957
1449,17188
1449,24233
1457,6241
1468,32636
1468,29168
1469,5228
1469,32636
1469,29168
1469,26172
1470,17927
1473,3297
1473,2879
1473,33304
1474,14027
1474,7868
1474,7795
1474,23814
1475,26509
1475,18229
1475,27467
1476,2073
1476,9853
1476,13591
1477,24883
1477,17162
1477,18013
1477,13262
1477,5181
1477,34026
1477,13779
1481,23650
1482,27030
1482,7733
1482,32198
1482,27461
1488,4626
1488,13065
1489,5289
1492,3255
1493,9182
1493,14089
1501,6508
1501,12453
1501,28633
1502,4208
1502,16828
1502,24459
1502,27269
1503,9879
1503,7485
1504,17277
1504,8012
1507,28397
1507,12062
1507,16885
1507,13783
1507,14338
1511,16887
1511,23131
1511,26280
1513,4477
1515,4343
1515,1645
1515,28614
1515,34438
1515,26221
1515,10612
1515,15115
1521,14126
1521,29633
1521,29413
1522,8942
1522,7032
1523,2205
1524,24262
1524,13038
1525,16219
1525,23403
1525,29648
1530,6241
1596,29399
1598,18228
1598,26509
1598,6447
1598,27467
1599,9182
1600,24531
1600,29399
1600,24402
1601,4626
1602,5310
1603,12657
1604,2684
1604,31943
1604,17927
1605,13738
1605,10514
1607,28898
1608,28743
1608,16543
1608,16620
1608,29434
1608,29273
1609,34946
1609,3875
1610,27688
1610,25256
1610,35057
1610,27684
1612,17400
1612,2073
1612,9853
1613,14027
1613,23818
1613,7795
1615,10098
1615,23482
1615,26083
1615,28245
1616,4150
1616,3254
1616,25693
1616,28333
1617,24885
1617,2970
1617,3562
1617,18217
1619,3297
1619,2879
1620,7838
1620,34992
1620,16970
1620,2467
1621,14755
1621,29504
1621,8524
1622,27461
1622,7733
1622,32198
1622,18026
1623,28885
1623,912
1623,17370
1623,13430
1623,34490
1624,6284
1625,13954
1626,24105
1626,23648
1627,16413
1627,26484
1627,14984
1627,25601
1627,1677
1630,3203
1630,4477
1630,14226
1630,15521
1633,2813
1634,27268
1634,4208
1636,34438
1636,15115
1636,26221
1636,10612
1638,20550
1638,16488
1638,14737
1638,10503
1639,7485
1642,11907
1642,17221
1642,10686
1642,18625
1642,16509
1645,16522
1645,12665
1647,18546
1649,27516
1650,23131
1650,26280
1655,8030
1655,17277
1655,8012
1655,3027
1657,17674
1660,11656
1660,20939
1727,14499
1727,28740
1727,1635
1727,7890
1727,28749
1727,7468
1727,17941
1728,14852
1728,25711
1728,4030
1728,24540
1729,6836
1729,6835
1730,21631
1730,6790
1730,9432
1730,25745
1730,17941
1730,27486
1731,22414
1731,19772
1732,16264
1732,24339
1732,20845
1732,19120
1733,24029
1733,16783
1734,23243
1735,28749
1737,17955
1737,17954
1737,17952
1738,7968
1739,18091
1739,20089
1739,14676
1739,5296
1739,32606
1740,29911
1740,6701
1740,5518
1740,23373
1740,23906
1740,35061
1740,7468
1740,5519
1740,3441
1741,1635
1741,22264
1741,5705
1742,7296
1743,831
1743,25945
1744,20313
1744,1230
1744,4613
1744,5374
1744,33454
1745,29364
1745,29044
1745,21047
1746,12760
1747,23729
1748,21381
1748,30408
1748,23910
1748,6238
1748,31973
1748,28271
1749,14747
1749,3231
1749,7962
1749,23790
1749,13175
1749,4269
1751,5439
1751,6671
1751,29059
1751,9109
1751,7885
1751,3114
1752,29438
1753,23243
1754,28749
1755,18315
1755,22110
1756,30467
1756,7588
1756,14650
1757,9459
1757,9232
1758,2316
1758,3686
1758,22078
1758,14595
1758,11083
1759,2186
1761,11132
1761,5303
1761,2422
1761,10294
1762,29038
1762,7050
1763,33493
1764,29044
1764,21047
1765,12760
1766,22343
1766,21855
1768,23243
1769,28749
1770,5439
1770,3114
1770,29059
1771,29438
1773,2316
1773,21111
1773,3686
1773,29447
1773,12000
1774,6510
1774,3746
1776,29038
1776,33685
1777,20914
1777,22153
1780,19503
1780,1721
1780,33994
1780,11060
1781,28720
1781,3687
1782,6510
1782,3746
1786,20100
1786,17955
1786,17952
1787,871
1788,1635
1788,14499
1788,22264
1788,5705
1789,7296
1790,3504
1790,17448
1790,30166
1790,29377
1790,2497
1791,12351
1792,17911
1792,17915
1794,17955
1794,17953
1794,17952
1796,28749
1797,16264
1797,2344
1797,20845
1798,16783
1798,21625
1799,7890
1799,579
1799,26334
1800,18394
1800,12088
1800,30308
1801,26395
1801,1635
1801,6261
1801,14499
1802,5703
1802,7296
1803,5439
1803,29059
1803,9109
1803,29438
1804,14852
1804,25711
1804,24540
1804,4030
1804,4042
1805,12017
1805,6835
1870,5310
1871,911
1871,34490
1872,3297
1872,2879
1873,14027
1873,7862
1873,7795
1873,23814
1874,26509
1874,6446
1874,6469
1874,20056
1874,18228
1874,27467
1875,2073
1875,9853
1875,13590
1876,24105
1876,23648
1877,3875
1878,7838
1878,16970
1878,2467
1878,31862
1879,16413
1879,26484
1879,1677
1880,17804
1880,4107
1881,36197
1881,7366
1882,3562
1882,18217
1883,24531
1883,24414
1883,29388
1884,4626
1886,3255
1886,25692
1887,9182
1887,14089
1888,26376
1888,29504
1888,14676
1888,18075
1889,28898
1890,28325
1890,23160
1890,15739
1891,33602
1891,7733
1891,27461
1891,22012
1892,12657
1893,34624
1894,3297
1894,27739
1895,13262
1896,5652
1901,13501
1904,4846
1904,29633
1905,10579
1906,5652
1908,5833
1909,16488
1909,14737
1909,10503
1909,12975
1910,23438
1913,15940
1913,3368
1914,30441
1914,12583
1914,28885
1916,4672
1916,15521
1916,33456
1916,14226
1919,1231
1922,18889
