story_id,artist_id
6,380
7,762
8,762
9,762
10,1290
11,1290
12,1290
13,1290
14,1290
15,1290
16,1290
17,1290
18,1290
19,1290
20,1290
21,1290
22,1290
23,1290
24,1290
25,1290
26,1290
27,1290
28,1290
29,1290
30,1290
31,1290
32,1290
33,1290
34,1290
35,1290
36,1290
37,1290
38,3160
39,3160
40,3160
41,3160
42,3160
44,2949
48,2949
49,2949
51,3160
52,3160
53,3160
54,3160
55,3160
56,3160
57,3160
58,3160
59,3160
60,3160
61,3160
62,3160
63,3160
64,3160
65,3160
66,3160
67,3160
69,2589
70,2589
73,2949
74,2949
76,2949
77,2949
78,2949
79,2949
80,3160
81,3160
82,3160
83,3160
84,3160
85,3160
87,534
88,3160
89,3160
90,534
91,534
94,1126
95,1126
96,556
97,556
98,1396
99,1396
100,2973
101,2973
102,2973
103,2973
104,2973
105,2973
106,2899
107,1372
108,2329
109,2852
110,1039
111,1553
112,1039
113,1127
115,1553
116,1553
117,1326
118,1039
120,284
122,2852
123,2612
124,1326
126,564
127,564
128,2470
129,2470
130,1746
131,1746
132,2330
133,2330
134,2330
135,1829
136,1829
137,2437
138,2437
139,1829
140,1829
141,2501
142,2501
143,2501
144,2470
145,2470
148,2470
149,2470
150,1093
151,1093
152,1093
153,1093
154,1093
155,1093
156,3228
157,3228
158,2505
159,2505
160,2505
161,2505
162,2505
163,2505
164,2505
165,2505
166,2505
167,2505
168,2505
169,2505
170,2505
171,2505
172,2505
173,2505
174,2505
175,2505
176,2505
177,2505
178,2505
179,2505
180,2505
181,2505
182,2505
183,2505
184,2505
185,2505
186,2505
187,2505
188,2505
189,2505
190,2505
191,2505
192,2505
193,2505
194,2505
195,2505
196,2505
197,2505
198,2505
199,2505
200,2505
201,2505
202,2505
203,2505
204,2505
205,2470
206,2470
207,2501
208,2501
209,2501
210,2501
211,3116
212,3116
213,3116
214,3116
215,3116
216,3116
217,3116
218,3116
219,3116
220,3116
221,3116
222,3116
223,3116
224,3116
225,2470
226,2470
227,2470
228,2470
229,2470
230,2470
231,2470
232,2470
233,2470
234,2470
235,2470
236,2470
237,2470
238,2470
239,2501
240,2501
241,2501
242,2501
243,2501
244,2501
245,2501
246,2501
247,2501
248,2501
249,2501
250,2501
251,2501
252,2501
253,2501
254,2501
255,2501
256,2501
257,2501
258,2501
259,2501
260,2501
261,2501
262,2501
263,2501
264,1558
265,1558
266,1558
267,1558
268,1558
269,1558
270,1558
271,1558
272,1558
273,1558
274,1558
275,1558
276,519
277,519
278,519
279,519
280,519
281,519
282,519
284,3101
285,1561
286,1561
291,2207
292,2207
293,2207
294,2207
295,2207
296,2207
297,2207
298,2207
299,2207
300,2207
301,2905
302,2905
303,630
304,630
305,2453
306,2453
307,2453
308,2453
309,2453
310,2453
311,2453
312,2453
313,2453
314,2453
315,2453
316,2453
317,2453
318,2453
319,2453
320,2453
321,2453
322,2453
323,2453
324,2453
325,2453
326,2453
327,2453
328,2453
329,2453
330,2453
331,2453
332,2453
333,2453
334,2453
335,2453
336,2453
337,2453
338,2453
339,2453
340,2453
341,2453
342,2453
343,2453
344,2453
345,2453
346,2453
347,2453
